Department,Subject,Master Subject,Title,Level,Pre/Co-Requisites
1,1.254,1.254,Transport Modeling Course,G,Permission of instructor
1,1.258,1.258,Public Transportation Systems,G,1.201 or permission of instructor
1,1.26,SCM.260,Logistics Systems,G,Permission of instructor
1,1.261,SCM.261,Logistics & Supply Chain Mgmt,G,Permission of instructor
1,1.265,SCM.265,Global Supply Chain Mgmt,G,"1.260, 1.261, 15.761, 15.778, or permission of instructor"
1,1.27,1.27,Studies in Transportion,G,Permission of instructor
1,1.271,15.764,Theory of Operations Mgmt,G,"15.081J or 6.251J, 6.436J; or permission of instructor"
1,1.273,15.762,Supply Chain Planning,G,1.260 or 15.761
1,1.274,15.763,Mfg Sys & Supply Chain Design,G,"1.260, 15.761, or 15.778"
1,1.275,IDS.305,Business& Operations Analytics,G,Permission of instructor
1,1.284,11.481,Analyzing Regional Econ Change,G,"14.03, 14.04"
1,1.285,11.482,Reg Socioecon Impact Analyses,G,11.481J or permission of instructor
1,1.286,11.165,Energy & Infrastructure Tech,G,"11.203, 14.01, or permission of instructor"
1,1.322,1.322,Soil Behavior,G,1.361
1,1.331,1.331,Advanced Soil Dynamics,G,Permission of instructor
1,1.351,1.351,Theoretical Soil Mechanics,G,1.361
1,1.361,1.032,Advanced Soil Mechanics,G,1.036
1,1.364,1.364,Adv Geotechnical Engineering,G,1.361
1,1.37,1.37,Geotech Msrmt & Exploration,G,1.035
1,1.38,1.38,Engineering Geology,G,Permission of instructor
1,1.381,1.381,Rock Mechanics,G,"1.38, 1.361"
1,1.383,1.383,Underground Construction,G,"1.361, 1.38, or permission of instructor"
1,1.39,1.39,Ind Study in Geotechnical Engr,G,Permission of instructor
1,1.462,11.345,Entrprnrshp in Constr & RE Dev,G,Permission of instructor
1,1.472,11.344,Innovative Project Delivery,G,Permission of instructor
1,1.541,1.054,Mech & Dsgn:Concrete Strctures,G,1.035
1,1.545,1.545,Atomstic Mod& Sim: Mat& Struct,G,Permission of instructor
1,1.562,1.562,Structural Des Proj I,G,
1,1.563,1.563,Structural Design Proj II,G,
1,1.57,1.57,Mechanics of Materials,G,1.050 or permission of instructor
1,1.57,1.57,Micromech & Durability: Solids,G,"1.050, 1.57; or permission of instructor"
1,1.571,1.571,Modeling and Analysis of Struc,G,Permission of instructor
1,1.572,1.572,Structural Systems,G,Permission of instructor
1,1.573,2.08,Structural Mechanics,G,2.002
1,1.575,4.45,Comp Struct Des & Optimization,G,Permission of instructor
1,1.581,1.058,Struct Dynamics,G,18.03 or permission of instructor
1,1.582,1.582,Steel Structures,G,Permission of instructor
1,1.589,1.589,Stud: Structural Design & Anal,G,Permission of instructor
1,1.61,1.061,Transport Processes in Envir,G,1.060B
1,1.63,2.26,Advanced Fluid Dynamics,G,18.085; 2.25 or permission of instructor.
1,1.631,1.631,Fluid Dynamics and Disease,G,
1,1.64,1.064,Physical Limnology,G,1.061
1,1.66,1.66,Water Resources & Envir Engr,G,Permission of instructor
1,1.67,1.67,Sediment Trsprt & Coastal Proc,G,1.061
1,1.685,2.034,Nonlinear Dynamics,G,Permission of instructor
