Department,Subject,Master Subject,Title,Level,Pre/Co-Requisites
6,6.S099,6.S099,Special Subject in EE & CS,U,Permission of instructor
6,6.S183,6.S183,Special Lab Subject in EE & CS,U,Permission of instructor
6,6.S184,6.S184,Special Lab Subject in EE & CS,U,Permission of instructor
6,6.S185,6.S185,Special Lab Subject in EE & CS,U,Permission of instructor
6,6.S186,6.S186,Special Lab Subject in EE & CS,U,Permission of instructor
6,6.S187,6.S187,Special Lab Subject in EE & CS,U,Permission of instructor
6,6.S188,6.S188,Special Lab Subject in EE & CS,U,Permission of instructor
6,6.S189,6.S189,Special Lab Subject in EE & CS,U,Permission of instructor
6,6.S190,6.S190,Special Lab Subject in EE & CS,U,Permission of instructor
6,6.S191,6.S191,Special Lab Subject in EE & CS,U,Permission of instructor
6,6.S192,6.S192,Special Lab Subject in EE & CS,U,Permission of instructor
6,6.S193,6.S193,Special Lab Subject in EE & CS,U,Permission of instructor
6,6.S194,6.S194,Special Lab Subject in EE & CS,U,Permission of instructor
6,6.S195,6.S195,Special Lab Subject in EE & CS,U,Permission of instructor
6,6.S196,6.S196,Special Lab Subject in EE & CS,U,Permission of instructor
6,6.S197,6.S197,Special Lab Subject in EE & CS,U,Permission of instructor
6,6.S198,6.S198,Special Lab Subject in EE & CS,U,Permission of instructor
6,6.S897,6.S897,Special Subj: Computer Science,G,Permission of instructor
6,6.S898,6.S898,Special Subj: Computer Science,G,Permission of instructor
6,6.S899,6.S899,Special Subj: Computer Science,G,Permission of instructor
6,6.S911,6.S911,Special Subject in EECS,U,Permission of instructor
6,6.S912,6.S912,Special Subject in EECS,U,Permission of instructor
6,6.S913,6.S913,Special Subject in EECS,U,Permission of instructor
6,6.S914,6.S914,Special Subject in EECS,U,Permission of instructor
6,6.S915,6.S915,Special Subject in EECS,U,Permission of instructor
6,6.S916,6.S916,Special Subject in EECS,U,Permission of instructor
6,6.S917,6.S917,Special Subject in EECS,U,Permission of instructor
6,6.S918,6.S918,Special Subject in EECS,U,Permission of instructor
6,6.S919,6.S919,Special Subject in EECS,U,Permission of instructor
6,6.S963,6.S963,Spec Studies: EECS,G,
6,6.S964,6.S964,Spec Studies: EECS,G,
6,6.S965,6.S965,Spec Studies: EECS,G,
6,6.S966,6.S966,Spec Studies: EECS,G,
6,6.S967,6.S967,Spec Studies: EECS,G,
6,6.S974,6.S974,Special Subject in EECS,G,
6,6.S975,6.S975,Special Subject in EECS,G,
6,6.S976,6.S976,Special Subj: EECS,G,Permission of instructor
6,6.S977,6.S977,Special Subj: EECS,G,Permission of instructor
6,6.S978,6.S978,Special Subj: EECS,G,Permission of instructor
6,6.S979,6.S979,Special Subj: EECS,G,Permission of instructor
6,6.THG,6.THG,Graduate Thesis,G,Permission of instructor
6,6.THM,6.THM,Master of Engr Program Thesis,G,6.UAT
6,6.UAP,6.UAP,Undergraduate Advanced Project,U,6.UAT
6,6.UAR,6.UAR,Seminar in Undergrad Research,U,"6.UR, permission of instructor"
6,6.UAT,6.UAT,Oral Communication,U,
6,6.UR,6.UR,Undergraduate Research,U,
6,6.URS,6.URS,Undergrad Research in EECS,U,Permission of instructor
7,7.012,7.012,Introductory Biology,U,
7,7.013,7.013,Introductory Biology,U,
7,7.014,7.014,Introductory Biology,U,
7,7.015,7.015,Introductory Biology,U,"High school course covering cellular and molecular biology, or permission of instructor"
7,7.016,7.016,Introductory Biology,U,
7,7.02,7.02,Intro to Exp Biology & Comm,U,GIR:BIOL
7,7.03,7.03,Genetics,U,GIR:BIOL
7,7.05,7.05,General Biochemistry,U,"5.12, GIR:BIOL, or permission of instructor"
7,7.06,7.06,Cell Biology,U,"7.03, 7.05"
7,7.08,5.08,Biological Chemistry II,U,5.12; 5.07 or 7.05
7,7.09,7.09,Quant &Computational Biology,U,"7.03, 7.05"
7,7.102,7.102,Laboratory Molecular Biology,U,
7,7.11,7.11,Biology Teaching,U,
7,7.18,7.18,Topics in Experimental Biology,U,"7.02, 7.06, and an approved research experience; or permission of instructor"
7,7.19,7.18,Comm in Experimental Biology,U,"7.02, 7.06; or permission of instructor"
7,7.2,7.2,Human Physiology,U,7.05
7,7.21,7.21,Microbial Physiology,U,"7.03, 7.05"
7,7.22,7.22,Development & Evolution,U,7.06
7,7.23,7.23,Immunology,U,7.06
7,7.26,7.26,Molec Basis Infect Disease,U,7.06
7,7.27,7.27,Principles of Human Disease,U,7.06
7,7.28,7.28,Molecular Biology,U,7.03; [7.05]
7,7.29,7.29,Cellular Neurobiology,U,7.05 or 9.01
7,7.30A,1.018A,Fundamentals of Ecology I,U,
7,7.30B,1.018B,Fundamentals of Ecology II,U,1.018A
7,7.31,7.31,Topics in Mammalian Biology,U,7.06 or permission of instructor
7,7.32,7.32,Systems Biology,U,"18.03, 18.05; or permission of instructor"
7,7.33,7.33,Evolutionary Biology,U,7.03; 6.0001 or permission of instructor
7,7.331,21A.331,Infections and Inequalities,U,
7,7.34,7.34,Advanced Undergraduate Seminar,U,7.06 or 7.28
7,7.341,7.341,Advanced Undergraduate Seminar,U,7.06 or 7.28
7,7.342,7.342,Advanced Undergraduate Seminar,U,7.06 or 7.28
7,7.343,7.343,Advanced Undergraduate Seminar,U,7.06 or 7.28
7,7.344,7.344,Advanced Undergraduate Seminar,U,7.06 or 7.28
7,7.345,7.345,Advanced Undergraduate Seminar,U,7.06 or 7.28
7,7.346,7.346,Advanced Undergraduate Seminar,U,7.06 or 7.28
7,7.347,7.347,Advanced Undergraduate Seminar,U,7.06 or 7.28
7,7.348,7.348,Advanced Undergraduate Seminar,U,7.06 or 7.28
7,7.349,7.349,Advanced Undergraduate Seminar,U,7.06 or 7.28
7,7.37,7.37,Molec & Engr Aspects Biotech,U,"2.005, 3.012, 5.60, or 20.110; 7.06; or permission of instructor"
7,7.371,7.371,Biol Eng Princ Novel Biotherap,U,7.06
7,7.391,7.391,Independent Study in Biology,U,
7,7.392,7.392,Independent Study in Biology,U,
7,7.393,7.393,Independent Study in Genetics,U,
7,7.394,7.394,Independent Study Biochemistry,U,
7,7.395,7.395,Ind Stdy: Cell & Moleculr Biol,U,
7,7.396,7.396,Ind Stdy: Experimental Biology,U,
7,7.41,7.41,Principles of Chemical Biology,U,7.05
7,7.41,7.41,Applied Statistics,G,Permission of instructor
7,7.411,7.411,Sem in Biological Oceanography,G,Permission of instructor
7,7.421,7.421,Probs: Biological Oceanography,G,Permission of instructor
7,7.43,7.43,Topics in Quant Marine Science,G,Permission of instructor
7,7.431,7.431,Topics in Marine Ecology,G,Permission of instructor
7,7.432,7.432,Topics:Marine Physiol &Biochem,G,Permission of instructor
7,7.433,7.433,Topics in Biol Oceanography,G,Permission of instructor
7,7.434,7.434,Topics in Zooplankton Biology,G,Permission of instructor
7,7.435,7.435,Topics in Benthic Biology,G,Permission of instructor
7,7.436,7.436,Topics:Phytoplankton Biology,G,Permission of instructor
7,7.437,7.437,Topics:Molec Biol Oceanography,G,Permission of instructor
7,7.438,7.438,Topics:Behavior Marine Animals,G,Permission of instructor
7,7.439,7.439,Topics in Marine Microbiology,G,Permission of instructor
7,7.44,7.44,Introduction to Math Ecology,G,"GIR:CAL1, 7.30B, or permission of instructor"
7,7.45,7.45,The Hallmarks of Cancer,U,[7.06]
7,7.458,10.03,Advances in Biomanufacturing,U,
7,7.47,7.47,Biological Oceanography,G,Permission of instructor
7,7.49,9.18,Developmental Neurobiology,U,"9.01, 7.03, 7.05, or permission of instructor"
7,7.491,7.491,Research in Biol Oceanography,G,Permission of instructor
7,7.492,7.492,Meth& Problems in Microbiology,G,
7,7.493,7.493,Microbial Genetics and Evol,G,"7.03, 7.05, or permission of instructor"
7,7.494,7.494,Research Problems Microbiology,G,Permission of instructor
7,7.498,7.498,TeachingExperienceMicrobiology,G,Permission of instructor
7,7.499,7.499,Rsch Rotations in Microbiology,G,"Permission of instructor; [7.492, or 7.493]"
7,7.5,7.5,Meth & Logic:Molecular Biology,G,"Permission of instructor or [7.51, 7.52]"
7,7.51,7.51,Prncp Biochemical Analysis,G,Permission of instructor
7,7.52,7.52,Graduate Genetics,G,Permission of instructor
7,7.54,5.54,Frontiers in Chemical  Biology,G,"5.13, 5.07, 7.06, permission of instructor"
7,7.546,15.48,Science and Bus of Biotech,G,Permission of instructor; [15.401]
7,7.547,15.136,Princ& Practice:Drug Developmt,G,Permission of instructor
7,7.548,10.03,Advances in Biomanufacturing,G,
7,7.549,20.486,Case studies in drug discovery,G,
7,7.55,7.55,Case Studies Experimental Des,G,Permission of instructor
7,7.57,7.57,Quantitative Biology,G,Permission of instructor
7,7.58,7.28,Molecular Biology,G,"7.03, 7.05, permission of instructor"
7,7.59,5.95,Teach College-Level Sci & Engr,G,
7,7.6,7.6,Struct & Funct of the Nucleus,G,7.06 or permission of instructor
7,7.61,7.61,Eukaryotic Cell Biology,G,Permission of instructor
7,7.62,7.21,Microbial Physiology,G,"7.03, 7.05, permission of instructor"
7,7.63,7.23,Immunology,G,"7.06, permission of instructor"
7,7.64,7.64,Molec Mechnsm Neuromusc Disord,G,Permission of instructor
7,7.65,9.015,Molecular & Cell Neurosci I,G,
7,7.66,7.26,Molec Basis Infect Disease,G,"7.06, permission of instructor"
7,7.67,9.322,Genetic Methods Neurobio,G,Permission of instructor
7,7.68,9.013,Molecular & Cell Neurosci II,G,Permission of instructor
7,7.69,9.18,Developmental Neurobiology,G,9.011 or permission of instructor
7,7.7,7.7,Regulation of Gene Expression,G,Permission of instructor
7,7.71,7.71,Biophysical Chem Techniques,G,5.13; 5.60; 5.07 or 7.05; permission of instructor.
7,7.72,7.72,Princ Frontier of Develop Biol,G,Permission of instructor
7,7.73,7.41,Principles of Chemical Biology,G,7.05; Permission of instructor
7,7.74,20.416,Topics Biophyscs & Phys Bio,G,
7,7.76,7.76,Topics in Protein Biochemistry,G,Permission of instructor
7,7.77,7.77,Wrkshp:Nucleic Acids& Proteins,G,"7.05, 7.51, or permission of instructor"
7,7.8,5.08,Biological Chemistry II,G,5.12; 5.07 or 7.05
7,7.81,7.32,Systems Biology,G,"18.03, 18.05; or permission of instructor"
7,7.82,7.82,Mammalian Develpmnt & Genetics,G,Permission of instructor
7,7.85,7.45,The Hallmarks of Cancer,G,Permission of instructor; [7.06]
7,7.87,7.87,Protein Folding and Misfolding,G,"7.51, 7.52; or permission of instructor"
7,7.89,CSB.100,Topics in Comp & Sys Biology,G,Permission of instructor
7,7.93,20.93,Research Expnce in Biopharma,G,
7,7.931,7.931,Independent Study in Biology,G,Permission of instructor
7,7.932,7.932,Independent Study in Biology,G,Permission of instructor
7,7.933,7.933,Research Rotations in Biology,G,Permission of instructor
7,7.934,7.934,Teaching Experience in Biology,G,Permission of instructor
7,7.935,7.935,Responsible Conduct in Biology,G,Permission of instructor
7,7.941,7.941,Research Problems,G,Permission of instructor
7,7.942,7.942,Research Problems,G,Permission of instructor
7,7.95,7.95,Cancer Biology,G,"7.85, permission of instructor"
7,7.98,9.301,Neural Plasticity:Lrng & Mmry,G,Permission of instructor
7,7.MTHG,7.MTHG,Microbiology Graduate Thesis,G,Permission of instructor
7,7.S391,7.S391,Special Subject in Biology,U,Permission of instructor
7,7.S392,7.S392,Special Subject in Biology,U,Permission of instructor
7,7.S399,7.S399,Special Subject in Biology,U,Permission of instructor
7,7.S930,7.S930,Special Subject in Biology,G,Permission of instructor
7,7.S931,7.S931,Special Subject in Biology,G,Permission of instructor
7,7.S932,7.S932,Special Subject in Biology,G,Permission of instructor
7,7.S939,7.S939,Special Subject in Biology,G,Permission of instructor
7,7.THG,7.THG,Graduate Thesis,G,Permission of instructor
7,7.THU,7.THU,Thesis,U,
7,7.UR,7.UR,Undergraduate Research,U,Permission of department.
7,7.URG,7.URG,Undergraduate Research,U,Permission of department
8,8.01,8.01,Physics I,U,
8,8.011,8.011,Physics I,U,
8,8.012,8.012,Physics I,U,
8,8.01L,8.01L,Physics I,U,
8,8.02,8.02,Physics II,U,"GIR:PHY1, GIR:CAL1"
8,8.021,8.021,Physics II,U,"GIR:PHY1, GIR:CAL1, permission of instructor"
8,8.022,8.022,Physics II,U,"GIR:PHY1, [GIR:CAL2]"
8,8.03,8.03,Physics III,U,"GIR:CAL2, GIR:PHY2"
8,8.033,8.033,Relativity,U,"GIR:PHY2, GIR:CAL2"
8,8.04,8.04,Quantum Physics I,U,8.03; 18.03 or 18.032
8,8.044,8.044,Statistical Physics I,U,"8.03, 18.03"
8,8.05,8.05,Quantum Physics II,U,8.04
8,8.051,8.051,Quantum Physics II,U,"8.04, permission of instructor"
8,8.06,8.06,Quantum Physics III,U,8.05
8,8.07,8.07,Electromagnetism II,U,"8.03, 18.03"
8,8.08,8.08,Statistical Physics II,U,"8.044, 8.05"
8,8.09,8.09,Classical Mechanics III,U,8.223
8,8.13,8.13,Experimental Physics I,U,8.04
8,8.14,8.14,Experimental Physics II,U,"8.05, 8.13"
8,8.18,8.18,Research Probs: Undergrad Phys,U,Permission of instructor
8,8.19,8.19,Readings in Physics,U,
8,8.2,8.2,Intro to Special Relativity,U,"GIR:PHY1, GIR:CAL1"
8,8.21,8.21,Physics of Energy,U,"GIR:PHY2, GIR:CAL2, GIR:CHEM"
8,8.223,8.223,Classical Mechanics II,U,"GIR:PHY1, GIR:CAL2"
8,8.224,8.224,Exploring Black Holes,U,8.033 or 8.20
8,8.225,STS.042,Physics in the 20th Century,U,
8,8.226,8.226,43 Orders of Magnitude,U,"8.04, 8.044; or permission of instructor"
8,8.231,8.231,Physics of Solids I,U,"8.044, [8.05]"
8,8.241,20.315,Intro to Biological Physics,U,GIR:PHY2; 8.044 or 5.60
8,8.251,8.251,String Theory: Undergraduates,U,"8.033, 8.044, 8.05"
8,8.276,8.276,Nuclear & Particle Physics,U,"8.033, 8.04"
8,8.277,8.277,Intro to Particle Accelerators,U,6.013 or 8.07; permission of instructor
8,8.282,8.282,Intro to Astronomy,U,GIR:PHY1
8,8.284,8.284,Modern Astrophysics,U,"8.04, [8.05]"
8,8.286,8.286,The Early Universe,U,"18.03, GIR:PHY2"
8,8.287,12.41,Obsrv Techniques:Opticl Astron,U,"8.282J, 12.402J, 12.409, or other introductory astronomy course; [8.03]"
8,8.29,12.425,Extrasolar Planets,U,"8.03, 18.03"
8,8.292,8.292,Fluid Physics,U,"8.044, 5.60, or permission of instructor"
8,8.295,8.295,Practical Work Experience,U,
8,8.297,8.297,Physics of the 21st Century,U,"8.033, 8.044, 8.05, 8.13"
8,8.298,8.298,Selected Topics in Physics,U,Permission of instructor
8,8.299,8.299,Physics Teaching,U,
8,8.309,8.09,Classical Mechanics III,G,
8,8.311,8.311,Electromagnetic Theory,G,8.07
8,8.315,18.369,Methods in Nanophotonics,G,"18.303, 8.07, or permission of instructor"
8,8.321,8.321,Quantum Theory I,G,8.05
8,8.322,8.322,Quantum Theory II,G,"8.07, 8.321"
8,8.323,8.323,Rel Quantum Field Theory I,G,8.321
8,8.324,8.324,Rel Quantum Field Theory II,G,"8.322, 8.323"
8,8.325,8.325,Rel Quantum Field Theory III,G,8.324
8,8.333,8.333,Statistical Mechanics I,G,"8.044, 8.05"
8,8.334,8.334,Statistical Mechanics II,G,8.333
8,8.351,12.008,Computatnl Classical Mechanics,G,"GIR:PHY1, 18.03, permission of instructor"
8,8.361,8.361,Many-Particle Systems,G,"8.322, 8.333"
8,8.37,18.435,Quantum Computation,G,Permission of instructor
8,8.371,8.371,Quantum Information Science,G,18.435
8,8.381,8.381,Topics: Theoretical Physics,G,Permission of instructor
8,8.382,8.382,Topics: Theoretical Physics,G,Permission of instructor
8,8.391,8.391,Pre-Thesis Research,G,Permission of instructor
8,8.392,8.392,Pre-Thesis Research,G,Permission of instructor
8,8.395,5.95,Teach College-Level Sci & Engr,G,
8,8.398,8.398,Selected Topics Grad Physics,G,Permission of instructor
8,8.399,8.399,Physics Teaching,G,Permission of instructor
8,8.421,8.421,Atomic & Optical Physics I,G,8.05
8,8.422,8.422,Atomic & Optical Physics II,G,8.05
8,8.431,6.634,Nonlinear Optics,G,6.013 or 8.07
8,8.481,8.481,Physics: Atoms & Radiation,G,8.321
8,8.482,8.482,Physics: Atoms & Radiation,G,8.321
8,8.511,8.511,Theory of Solids I,G,8.231
8,8.512,8.512,Theory of Solids II,G,8.511
8,8.513,8.513,Condensed Matter Physics,G,"8.05, 8.08, 8.033, 8.231J"
8,8.514,8.514,Corelat Sys Condns Mattr Physc,G,"8.322, 8.333"
8,8.581,8.581,Topics: Condensed Matter Phys,G,Permission of instructor
8,8.582,8.582,Topics: Condensed Matter Phys,G,Permission of instructor
8,8.59,20.416,Topics Biophyscs & Phys Bio,G,
8,8.591,7.32,Systems Biology,G,"18.03, 18.05; or permission of instructor"
8,8.592,8.592,Statistical Physics Biology,G,8.333 or permission of instructor
8,8.593,8.593,Biological Physics,G,8.044 recommended but not necessary
8,8.613,22.611,Intro to Plasma Physics I,G,6.013 or 8.07; 18.04 or [18.075]
8,8.614,8.614,Intro to Plasma Physics II,G,8.613
8,8.624,8.624,Plasma Waves,G,8.613J
8,8.641,8.641,Physics: High-Energy Plasmas I,G,8.613J
8,8.642,8.642,Physics:High-Energy Plasmas II,G,8.613
8,8.681,8.681,Sel Topics:Fluid & Plasma Phys,G,8.613J
8,8.682,8.682,Sel Topics:Fluid & Plasma Phys,G,8.613J
8,8.701,8.701,Intro: Nuclear & Particle Phys,G,[8.321]
8,8.711,8.711,Nuclear Physics,G,"8.321, 8.701"
8,8.712,8.712,Adv Topics in Nuclear Physics,G,8.711 or permission of instructor
8,8.781,8.781,Selcted Topics: Nuclear Theory,G,8.323
8,8.782,8.782,Selcted Topics: Nuclear Theory,G,8.323
8,8.79,8.79,Topics in Accelerator Physics,G,6.013 or 8.07
8,8.811,8.811,Particle Physics II,G,8.701
8,8.812,8.812,Graduate Experimental Physics,G,8.701
8,8.821,8.821,String Theory,G,8.324
8,8.831,8.831,Supersymmetric Quant Field Th,G,Permission of instructor
8,8.841,8.841,Electroweak Interactions,G,8.324
8,8.851,8.851,Effective Field Theory,G,8.324
8,8.861,8.861,Adv Topics in Superfluidity,G,8.324
8,8.871,8.871,Topics:Theor Particle Physics,G,8.323
8,8.872,8.872,Topics:Theor Particle Physics,G,8.323
8,8.881,8.881,Topics:  Exp Particle Physics,G,8.811
8,8.882,8.882,Topics:  Exp Particle Physics,G,8.811
8,8.901,8.901,Astrophysics I,G,Permission of instructor
8,8.902,8.902,Astrophysics II,G,8.901
8,8.913,8.913,Plasma Astrophysics I,G,Permission of instructor
8,8.914,8.914,Plasma Astrophysics II,G,Permission of instructor
8,8.921,8.921,Stellar Structure & Evolution,G,Permission of instructor
8,8.942,8.942,Cosmology,G,Permission of instructor
8,8.952,8.952,Particle Phys: Early Universe,G,"8.323, [8.324]"
8,8.962,8.962,General Relativity,G,"18.03, 18.06, 8.07"
8,8.971,8.971,Astrophysics Seminar,G,Permission of instructor
8,8.972,8.972,Astrophysics Seminar,G,Permission of instructor
8,8.981,8.981,Selcted Topics in Astrophysics,G,Permission of instructor
8,8.982,8.982,Selcted Topics in Astrophysics,G,Permission of Instructor
8,8.995,8.995,Practical Work Experience,G,
8,8.S04,8.S04,Quantum Physics I,U,8.03; 18.03 or 18.032
8,8.S10,8.S10,Special Subject:  Physics,U,
8,8.S30,8.S30,Special Subject:  Physics,U,
8,8.S301,8.S301,Special Subject: Physics,G,Permission of instructor
8,8.S421,8.S421,Special Subject:  Physics,G,Permission of instructor
8,8.S50,8.S50,Special Subject:  Physics,U,
8,8.S851,8.S851,SpecSubj Effctive Field Theory,G,"8.324, permission of instructor"
8,8.THG,8.THG,Thesis,G,Permission of instructor
8,8.THU,8.THU,Thesis,U,
8,8.UR,8.UR,Undergraduate Research,U,
9,9,9,Intro to Psychological Science,U,
9,9.01,9.01,Introduction to Neuroscience,U,
9,9.011,9.011,Systems Neuroscience,G,Permission of instructor
9,9.012,9.012,Cognitive Science,G,Permission of instructor
9,9.013,9.013,Molecular & Cell Neurosci II,G,Permission of instructor
9,9.014,9.014,Quantitative Methods,G,
9,9.015,9.015,Molecular & Cell Neurosci I,G,
9,9.016,HST.714,"Acoustics, Percept of Speech",G,"8.03, 6.003; or permission of instructor"
9,9.021,6.021,Cellular Neuro and Comp,G,"GIR:PHY2; 18.03; 2.005, 6.002, 6.003, 10.301, 20.110, or permission of instructor"
9,9.04,9.04,Sensory Systems,U,9.01 or permission of instructor
9,9.07,9.07,Statistics for Brain & Cog Sci,U,6
9,9.073,9.073,Stats for Neurosci Rsch,G,Permission of instructor
9,9.09,7.29,Cellular Neurobiology,U,7.05 or 9.01
9,9.1,9.1,Cognitive Neuroscience,U,9.01
9,9.11,9.11,The Human Brain,U,9.00 or 9.01
9,9.11,2.152,Nonlinear Control,G,"2.151, 6.241, 16.31, or permission of instructor"
9,9.12,9.12,Expermental Molecular Neurobio,U,"9.01, GIR:BIOL"
9,9.123,9.123,Neurotechnology in Action,G,Permission of instructor
9,9.14,9.14,Brain Structure & its Origins,U,9.01
9,9.15,9.15,Neuromod & Neuroendocrine Sys,U,"7.29, 9.01, or permission of instructor"
9,9.16,9.16,Cellular Neurophysiology,U,9.4
9,9.16,9.16,Cellular Neurophysiology,G,Permission of instructor
9,9.17,9.17,Systems Neuroscience Lab,U,"7.29, 9.40, or permission of instructor; [9.07]"
9,9.175,2.165,Robotics,G,2.151 or permission of instructor
9,9.18,9.18,Developmental Neurobiology,U,"9.01, 7.03, 7.05, or permission of instructor"
9,9.181,9.18,Developmental Neurobiology,G,9.011 or permission of instructor
9,9.19,9.19,Comp. Psycholinguistics,U,"6.00; 6.041B, 9.40, or 24.900; or permission of instructor"
9,9.19,9.19,Comp. Psycholinguistics,G,"6.00; 6.431B, 9.40, or 24.900; or permission of instructor"
9,9.2,9.2,Animal Behavior,U,9
9,9.21,6.021,Cellular Neuro and Comp,U,"GIR:PHY2; 18.03; 2.005, 6.002, 6.003, 10.301, 20.110, or permission of instructor"
9,9.24,9.24,Diseases of the Nervous System,U,"9.00, 9.01, 9.09"
9,9.26,9.26,Princ & Apps of Genetic Engr,U,"7.28, 7.32, or 20.020; 9.01 or 9.09"
9,9.272,9.272,Topics Neural Signal Prcessing,G,Permission of instructor
9,9.28,9.28,Current Topics in Dev Neurobio,U,[9.18]
9,9.285,HST.723,"Neural Mechnsms, Percept & Cog",G,Permission of instructor
9,9.301,9.301,Neural Plasticity:Lrng & Mmry,G,Permission of instructor
9,9.31,9.31,Neurobio of Learning & Memory,U,9.01
9,9.32,9.32,"Genes, Circuits, and Behavior",U,"9.09, 9.10, 9.16, or 9.18"
9,9.322,9.322,Genetic Methods Neurobio,G,Permission of instructor
9,9.33,9.33,Your Brain: A User's Guide,U,
9,9.34,2.184,Neural Control of Movement,G,2.004 or permission of instructor
9,9.35,9.35,Perceptual systems,U,"9.00, 9.01; or permission of instructor"
9,9.357,9.357,Current Topics in Perception,G,Permission of instructor
9,9.4,9.4,Intro to Neural Computation,U,"GIR:PHY2, 6.00, 9.01; or permission of instructor"
9,9.41,9.41,Res & Comm in Neuro & Cog Sci,U,"9.URG, permission of instructor"
9,9.42,9.42,Brain & Its Intrfce with Body,U,"7.28, 9.09, or permission of instructor"
9,9.422,20.352,Principles of Neuroengineering,G,Permission of instructor
9,9.455,MAS.883,Invent/Deploy Transformtv Tech,G,Permission of instructor
9,9.46,9.46,Neuroscience of Morality,U,"9.00, 9.01; 9.10, 9.20, or 9.85"
9,9.48,24.08,Phil Issues in Brain Science,U,
9,9.5,9.5,Research in Brain & Cogn Sci,U,"9.00, permission of instructor"
9,9.52,9.52,Statistical Learning Theory,G,"6.867, 6.041B, 18.06, or permission of instructor"
9,9.523,9.523,Computational Intelligence,G,Permission of instructor
9,9.54,9.54,Comp Aspects Biol Lrng,U,9.4
9,9.56,9.56,Abnormal Language,U,24.900 or permission of instructor
9,9.583,HST.583,Funct Magn Res Imaging: Data,G,18.05; 18.06 or permission of instructor
9,9.59,9.59,Lab in Psycholinguistics,U,9.00 or 24.900
9,9.6,9.6,Machine-Motivated Human Vision,U,"9.00, 9.07"
9,9.601,9.601,Language Acquisition I,G,Permission of instructor
9,9.611,6.863,Natural Language,G,6.034
9,9.63,9.63,Lab in Visual Cognition,U,9
9,9.65,9.65,Cognitive Processes,U,9
9,9.66,9.66,Computationl Cognitive Science,U,"6.008, 6.036, 6.041B, 9.40, 18.05, or permission of instructor"
9,9.66,9.66,Computationl Cognitive Science,G,Permission of instructor
9,9.71,9.71,Funct MRI of Human Brain,U,"9.07, 18.05, or permission of instructor"
9,9.77,9.77,Computational Perception,U,"9.00, 9.40; 9.35 or 9.65"
9,9.822,14.137,Psychology and Economics,G,
9,9.85,9.85,Infant & Childhood Cognition,U,9
9,9.901,9.901,Responsible Conduct in Science,G,
9,9.91,9.91,Ind Study Brain & Cog Sciences,U,9.00 and any other two subjects in Brain and Cognitive Sciences; permission of instructor
9,9.919,9.919,Teaching Brain & Cog Sciences,G,
9,9.921,9.921,Rsrch in Brain & Cog Sciences,G,Permission of instructor
9,9.941,9.941,Graduate Thesis Proposal,G,Permission of instructor
9,9.95,9.95,Rsearch Topics in Neuroscience,U,
9,9.97,9.97,Introduction to Neuroanatomy,U,
9,9.S51,9.S51,Spec Subj Brain & Cog Sciences,U,9.00 and any other two subjects in Brain and Cognitive Sciences
9,9.S52,9.S52,Spec Subj Brain & Cog Sciences,U,9.00 and any other two subjects in Brain and Cognitive Sciences
9,9.S911,9.S911,Spec Subj Brain & Cog Sciences,G,Permission of instructor
9,9.S912,9.S912,Spec Subj Brain & Cog Sciences,G,Permission of instructor
9,9.S913,9.S913,Spec Subj Brain & Cog Sciences,G,Permission of instructor
9,9.S914,9.S914,Spec Subj Brain & Cog Sciences,G,Permission of instructor
9,9.S915,9.S915,Spec Subj Brain & Cog Sciences,G,Permission of instructor
9,9.S916,9.S916,Spec Subj Brain & Cog Sciences,G,Permission of instructor
9,9.S917,9.S917,Spec Subj Brain & Cog Sciences,G,Permission of instructor
9,9.S918,9.S918,Spec Subj Brain & Cog Sciences,G,Permission of instructor
9,9.S92,9.S92,Spec Subj Brain & Cog Sciences,U,9
9,9.S93,9.S93,Spec Subj Brain & Cog Sciences,U,
9,9.S94,9.S94,Spec Subj Brain & Cog Sciences,U,
9,9.S95,9.S95,Spec Subj Brain & Cog Sciences,U,
9,9.S96,9.S96,Spec Subj Brain & Cog Sciences,U,
9,9.S97,9.S97,Spec Subj Brain & Cog Sciences,U,
9,9.S98,9.S98,Spec Subj Brain & Cog Sciences,U,
9,9.S99,9.S99,Spec Subj Brain & Cog Sciences,U,
9,9.THG,9.THG,Thesis,G,Permission of instructor
9,9.UR,9.UR,Undergraduate Research,U,
9,9.URG,9.URG,Undergraduate Research,U,
10,10,10,Molecule Builders,U,"GIR:CHEM, GIR:PHY1"
10,10.01,10.01,Ethics for Engineers,U,
10,10.02,10.02,Entrepreneurship for Engineers,U,
10,10.03,10.03,Advances in Biomanufacturing,U,
10,10.04,10.04,Philosophcal History of Energy,U,
10,10.05,10.05,Problems in Energy and Env,U,
10,10.06,10.06,Advanced Ethics for Engineers,U,"10.01, 10.05, permission of instructor"
10,10.1,10.1,Intro to Chem Engineering,U,"GIR:CHEM, GIR:PHY1, GIR:CAL1"
10,10.213,10.213,Chem & Bio Engr Thermodynamics,U,"5.60, 10.10"
10,10.22,10.22,Molecular Engineering,U,"5.60, 10.213"
10,10.25,10.25,Industrial Chemistry,G,"GIR:CHEM, 10.213, 10.37"
10,10.26,10.26,Chem Engr Projects Lab,U,"2.671, 3.014, 5.310, 7.02, 12.335, or 1.106 and 1.107; 10.302; or permission of instructor"
10,10.27,10.26,Energy Engr Projects Lab,U,"2.671, 3.014, 5.310, 7.02, 12.335, or 1.106 and 1.107; 10.302; or permission of instructor"
