Id,Label,timeset,indegree,outdegree,Degree,modularity_class
10.450,10.450,,2,0,2,4
18.404,18.404,,7,0,7,0
15.648,15.648,,0,0,0,0
10.466,10.466,,4,0,4,0
15.286,15.286,,0,0,0,0
15.289,15.289,,8,0,8,2
15.301,15.301,,0,0,0,0
15.304,15.304,,0,0,0,0
15.305,15.305,,8,0,8,2
5.56,5.56,,11,0,11,0
15.309,15.309,,0,0,0,0
15.310,15.310,,0,0,0,0
15.311,15.311,,8,0,8,2
15.312,15.312,,0,0,0,0
7.494,7.494,,8,0,8,2
10.467,10.467,,2,0,2,4
15.316,15.316,,0,0,0,0
15.317,15.317,,0,0,0,0
15.318,15.318,,13,0,13,0
15.320,15.320,,0,0,0,0
15.321,15.321,,0,0,0,0
15.322,15.322,,0,0,0,0
15.323,15.323,,0,0,0,0
15.324,15.324,,0,0,0,0
15.325,15.325,,0,0,0,0
10.489,10.489,,2,0,2,4
15.326,15.326,,5,0,5,0
HST.240,HST.240,,7,0,7,0
15.328,15.328,,0,0,0,0
15.339,15.339,,0,0,0,0
15.329,15.329,,0,0,0,0
15.341,15.341,,8,0,8,2
15.342,15.342,,8,0,8,2
15.345,15.345,,8,0,8,2
15.661,15.661,,0,0,0,0
15.347,15.347,,8,0,8,2
15.350,15.350,,0,0,0,0
15.348,15.348,,14,0,14,0
15.351,15.351,,0,0,0,0
15.S33,15.S33,,0,0,0,0
15.356,15.356,,0,0,0,0
15.357,15.357,,0,0,0,0
15.360,15.360,,8,0,8,2
15.358,15.358,,6,0,6,0
15.361,15.361,,0,0,0,0
15.363,15.363,,0,0,0,0
15.364,15.364,,0,0,0,0
15.3641,15.3641,,0,0,0,0
HST.978,HST.978,,0,0,0,0
15.366,15.366,,5,0,5,11
15.665,15.665,,8,0,8,2
4.507,4.507,,0,0,0,0
15.368,15.368,,0,0,0,0
MAS.S72,MAS.S72,,8,0,8,2
4.302,4.302,,6,0,6,0
4.511,4.511,,8,0,8,2
18.01,18.01,,0,0,0,0
18.022,18.022,,8,0,8,1
15.668,15.668,,0,0,0,0
9.60,9.60,,2,0,2,3
14.121,14.121,,2,6,8,3
18.01A,18.01A,,0,0,0,0
12.448,12.448,,8,0,8,2
5.68,5.68,,8,0,8,0
5.561,5.561,,4,0,4,4
15.369,15.369,,5,1,6,0
18.02A,18.02A,,8,0,8,1
15.669,15.669,,12,0,12,0
15.374,15.374,,0,0,0,0
MAS.664,MAS.664,,0,0,0,0
15.385,15.385,,0,0,0,0
15.386,15.386,,0,0,0,0
15.387,15.387,,0,0,0,0
15.3901,15.3901,,0,0,0,0
15.392,15.392,,7,0,7,0
14.123,14.123,,3,0,3,3
15.398,15.398,,0,0,0,0
15.399,15.399,,0,0,0,0
15.3991,15.3991,,0,0,0,0
15.401,15.401,,0,3,3,3
15.402,15.402,,5,4,9,0
15.676,15.676,,8,0,8,2
15.403,15.403,,0,0,0,0
5.60,5.60,,2,15,17,4
15.414,15.414,,3,5,8,0
20.S948,20.S948,,8,0,8,2
15.417,15.417,,0,0,0,0
15.425,15.425,,4,0,4,0
5.07,5.07,,4,9,13,4
14.122,14.122,,2,3,5,3
18.06,18.06,,8,33,41,1
1.001,1.001,,0,1,1,1
15.691,15.691,,8,0,8,2
5.61,5.61,,3,8,11,4
20.S949,20.S949,,8,0,8,2
18.065,18.065,,5,0,5,0
21A.503,21A.503,,0,0,0,0
15.698,15.698,,0,0,0,0
24.915,24.915,,5,0,5,0
18.075,18.075,,2,9,11,4
15.4371,15.4371,,5,0,5,0
21L.601,21L.601,,0,0,0,0
16.S982,16.S982,,0,0,0,0
15.439,15.439,,5,0,5,0
HST.434,HST.434,,0,0,0,0
3.021,3.021,,14,0,14,0
2.680,2.680,,8,0,8,2
20.S952,20.S952,,8,0,8,2
15.447,15.447,,5,0,5,0
24.919,24.919,,0,0,0,0
15.4451,15.4451,,4,0,4,3
15.448,15.448,,0,0,0,0
15.449,15.449,,0,0,0,0
15.450,15.450,,5,0,5,0
15.452,15.452,,6,0,6,0
24.918,24.918,,11,0,11,0
15.453,15.453,,5,0,5,0
15.466,15.466,,6,0,6,0
15.456,15.456,,0,0,0,0
2.684,2.684,,0,0,0,0
20.THG,20.THG,,8,0,8,2
24.921,24.921,,11,0,11,2
21M.710,21M.710,,0,1,1,3
24.922,24.922,,11,0,11,2
MS.301,MS.301,,11,0,11,2
14.125,14.125,,4,0,4,0
24.231,24.231,,0,0,0,0
1.S991,1.S991,,8,0,8,2
15.474,15.474,,0,0,0,0
15.482,15.482,,13,0,13,0
15.483,15.483,,5,0,5,0
15.487,15.487,,5,0,5,0
21L.707,21L.707,,0,0,0,0
15.4871,15.4871,,5,0,5,0
15.491,15.491,,6,0,6,0
21G.348,21G.348,,0,0,0,0
14.124,14.124,,13,2,15,3
15.493,15.493,,6,0,6,0
24.942,24.942,,6,0,6,0
1.S992,1.S992,,8,0,8,2
15.496,15.496,,5,0,5,0
15.497,15.497,,0,0,0,0
ES.181A,ES.181A,,0,0,0,0
15.498,15.498,,5,0,5,0
15.499,15.499,,5,0,5,0
5.64,5.64,,4,0,4,4
MAS.500,MAS.500,,8,0,8,2
15.501,15.501,,0,2,2,3
15.511,15.511,,8,1,9,2
16.UR,16.UR,,0,0,0,0
15.514,15.514,,0,0,0,0
4.550,4.550,,8,0,8,2
15.515,15.515,,8,2,10,3
15.518,15.518,,5,0,5,0
18.100A,18.100A,,8,11,19,1
15.5181,15.5181,,4,0,4,0
4.542,4.542,,12,0,12,0
10.52,10.52,,4,0,4,0
24.948,24.948,,8,0,8,2
MAS.552,MAS.552,,8,0,8,2
15.539,15.539,,3,0,3,0
24.951,24.951,,8,2,10,9
24.952,24.952,,6,2,8,9
18.100P,18.100P,,8,9,17,1
4.320,4.320,,0,0,0,0
24.954,24.954,,8,0,8,2
18.100Q,18.100Q,,8,11,19,1
4.566,4.566,,13,0,13,0
24.955,24.955,,2,0,2,9
15.561,15.561,,0,0,0,0
15.565,15.565,,8,0,8,2
15.567,15.567,,8,1,9,2
24.956,24.956,,6,0,6,0
15.569,15.569,,8,0,8,2
15.570,15.570,,0,0,0,0
CMS.634,CMS.634,,0,0,0,0
15.571,15.571,,0,0,0,0
15.576,15.576,,8,0,8,2
15.615,15.615,,0,0,0,0
21L.006,21L.006,,0,0,0,0
15.617,15.617,,0,0,0,0
5.931,5.931,,4,0,4,0
15.647,15.647,,0,0,0,0
15.649,15.649,,0,0,0,0
24.961,24.961,,8,0,8,2
15.667,15.667,,8,0,8,2
15.671,15.671,,0,0,0,0
15.6721,15.6721,,8,0,8,2
10.437,10.437,,0,0,0,0
6.042J,6.042J,,0,1,1,1
4.341,4.341,,0,0,0,0
15.915,15.915,,5,0,5,0
24.967,24.967,,15,0,15,0
6.951,6.951,,5,0,5,0
10.542,10.542,,8,0,8,2
15.700,15.700,,8,0,8,2
HST.031,HST.031,,8,0,8,2
15.702,15.702,,8,0,8,2
15.701,15.701,,13,0,13,0
15.703,15.703,,8,0,8,2
15.705,15.705,,8,0,8,2
15.707,15.707,,8,0,8,2
15.708,15.708,,8,0,8,2
5.12,5.12,,8,3,11,4
15.709,15.709,,0,0,0,0
21L.018,21L.018,,0,0,0,0
15.711,15.711,,0,0,0,0
15.712,15.712,,8,0,8,2
15.713,15.713,,0,0,0,0
15.714,15.714,,8,0,8,2
15.715,15.715,,0,0,0,0
15.716,15.716,,0,0,0,0
15.717,15.717,,8,0,8,2
10.544,10.544,,3,0,3,4
15.719,15.719,,0,0,0,0
4.606,4.606,,0,0,0,0
15.720,15.720,,8,0,8,2
15.722,15.722,,8,0,8,2
15.724,15.724,,8,0,8,2
21L.020,21L.020,,0,0,0,0
15.723,15.723,,14,0,14,0
15.725,15.725,,0,0,0,0
15.726,15.726,,0,0,0,0
15.727,15.727,,14,0,14,0
15.728,15.728,,0,0,0,0
15.730,15.730,,8,1,9,2
15.732,15.732,,8,0,8,2
HST.034,HST.034,,12,0,12,0
15.731,15.731,,10,0,10,2
15.734,15.734,,8,1,9,2
15.735,15.735,,0,0,0,0
15.736,15.736,,8,0,8,2
21L.022,21L.022,,0,0,0,0
15.738,15.738,,6,0,6,0
15.737,15.737,,14,0,14,0
15.739,15.739,,0,0,0,0
21L.S92,21L.S92,,8,0,8,2
15.740,15.740,,0,0,0,0
15.761,15.761,,15,2,17,10
15.7611,15.7611,,17,0,17,0
22.S903,22.S903,,8,0,8,2
HST.718,HST.718,,2,0,2,4
4.344,4.344,,12,0,12,0
6.S063,6.S063,,0,0,0,0
10.55,10.55,,8,0,8,2
6.S064,6.S064,,3,0,3,4
21G.402,21G.402,,14,0,14,0
6.S077,6.S077,,8,0,8,2
HST.525,HST.525,,2,0,2,3
HST.S47,HST.S47,,0,0,0,0
10.551,10.551,,3,0,3,4
21L.S97,21L.S97,,0,0,0,0
2.S974,2.S974,,0,0,0,0
21H.320,21H.320,,0,0,0,0
15.768,15.768,,14,0,14,0
15.767,15.767,,10,0,10,10
15.769,15.769,,14,0,14,0
21L.THT,21L.THT,,0,0,0,0
15.772,15.772,,0,0,0,0
2.S971,2.S971,,0,0,0,0
15.775,15.775,,0,0,0,0
15.774,15.774,,13,0,13,0
15.777,15.777,,2,0,2,10
15.778,15.778,,0,0,0,0
10.555,10.555,,8,0,8,2
15.781,15.781,,8,0,8,2
24.235,24.235,,0,0,0,0
15.780,15.780,,17,0,17,0
21L.UR,21L.UR,,0,0,0,0
2.772J,2.772J,,0,1,1,4
10.56,10.56,,8,0,8,2
21L.URG,21L.URG,,0,0,0,0
21G.403,21G.403,,14,0,14,0
10.557,10.557,,6,0,6,0
10.560,10.560,,13,0,13,0
1.064,1.064,,4,0,4,0
1.068,1.068,,5,0,5,0
21L.315,21L.315,,0,0,0,0
1.070A,1.070A,,3,1,4,8
1.071,1.071,,5,0,5,0
1.070B,1.070B,,5,0,5,0
1.072,1.072,,4,0,4,0
1.073,1.073,,3,0,3,0
1.074,1.074,,3,0,3,0
21L.320,21L.320,,0,0,0,0
1.080A,1.080A,,8,1,9,1
1.78,1.78,,0,0,0,0
15.821,15.821,,0,0,0,0
2.S983,2.S983,,8,0,8,2
15.830,15.830,,8,0,8,0
15.841,15.841,,0,0,0,0
15.842,15.842,,5,0,5,0
21L.340,21L.340,,8,0,8,2
15.847,15.847,,5,0,5,0
15.871,15.871,,8,0,8,2
15.872,15.872,,5,2,7,3
21L.345,21L.345,,8,0,8,2
15.8741,15.8741,,0,0,0,0
15.878,15.878,,5,0,5,0
21L.350,21L.350,,0,0,0,0
15.902,15.902,,8,1,9,2
15.904,15.904,,13,0,13,0
21L.355,21L.355,,0,0,0,0
15.910,15.910,,0,1,1,11
12.467,12.467,,8,0,8,2
11.902,11.902,,8,0,8,2
4.610,4.610,,0,0,0,0
12.741,12.741,,8,0,8,2
4.616,4.616,,8,0,8,2
15.911,15.911,,0,0,0,0
15.912,15.912,,13,0,13,0
15.913,15.913,,0,0,0,0
15.914,15.914,,5,0,5,3
21L.449,21L.449,,0,0,0,0
15.928,15.928,,6,0,6,0
15.929,15.929,,6,0,6,0
4.622,4.622,,8,0,8,2
15.933,15.933,,13,0,13,0
21G.405,21G.405,,15,0,15,0
15.950,15.950,,0,0,0,0
21L.434,21L.434,,0,0,0,0
15.951,15.951,,0,0,0,0
15.952,15.952,,0,0,0,0
15.960,15.960,,8,0,8,2
15.961,15.961,,8,0,8,2
15.962,15.962,,8,0,8,2
15.998,15.998,,0,0,0,0
15.999,15.999,,0,0,0,0
15.S01,15.S01,,8,0,8,2
15.S03,15.S03,,8,0,8,2
1.089A,1.089A,,12,0,12,2
15.S04,15.S04,,8,0,8,2
15.S05,15.S05,,8,0,8,2
12.744,12.744,,0,0,0,0
15.S06,15.S06,,8,0,8,2
1.101,1.101,,0,0,0,0
1.106,1.106,,2,2,4,8
15.S09,15.S09,,8,0,8,2
MAS.622,MAS.622,,8,0,8,2
1.124,1.124,,11,0,11,0
15.S13,15.S13,,8,0,8,2
24.991,24.991,,8,0,8,2
1.125,1.125,,14,0,14,0
2.089,2.089,,8,0,8,2
24.253,24.253,,0,0,0,0
2.062,2.062,,2,0,2,4
15.S17,15.S17,,8,0,8,2
IDS.332,IDS.332,,8,0,8,2
15.S20,15.S20,,8,0,8,2
1.153,1.153,,3,0,3,0
15.S25,15.S25,,8,0,8,2
10.579,10.579,,0,1,1,11
1.202,1.202,,12,0,12,0
HST.516,HST.516,,8,0,8,2
4.646,4.646,,8,0,8,2
24.UR,24.UR,,0,0,0,0
1.00,1.00,,8,5,13,1
1.000,1.000,,5,4,9,0
1.010,1.010,,8,5,13,1
2.00C,2.00C,,0,0,0,0
5.70,5.70,,12,0,12,0
1.018B,1.018B,,5,0,5,0
12.471,12.471,,0,0,0,0
15.S32,15.S32,,0,0,0,0
2.718,2.718,,15,0,15,0
15.S35,15.S35,,0,0,0,0
15.S36,15.S36,,0,0,0,0
14.11,14.11,,4,0,4,0
15.S37,15.S37,,0,0,0,0
15.S38,15.S38,,0,0,0,0
15.S40,15.S40,,0,0,0,0
15.S41,15.S41,,0,0,0,0
15.S42,15.S42,,0,0,0,0
MAS.534,MAS.534,,0,0,0,0
4.648,4.648,,0,0,0,0
15.S43,15.S43,,0,0,0,0
15.085,15.085,,0,1,1,1
15.S44,15.S44,,0,0,0,0
18.116,18.116,,4,0,4,0
15.S46,15.S46,,0,0,0,0
15.S47,15.S47,,0,0,0,0
15.S52,15.S52,,8,0,8,2
15.S53,15.S53,,8,0,8,2
15.S54,15.S54,,8,0,8,2
15.S55,15.S55,,8,0,8,2
15.S56,15.S56,,8,0,8,2
